year,     1,     2,     3,     4,     5,     6,     7,
      0,            2661170.00000,             961350.00000,             256670.00000,             138250.00000,              97515.00000,              75145.00000,             281180.00000,
      1,            3085680.95000,             946309.15000,             285435.20000,             152136.90000,                991.50000,                726.30000,                  0.00000,
      2,            3023965.60000,             990749.70000,             296408.05000,             158117.95000,               1118.65000,                920.05000,                  0.00000,
      3,            2976025.05000,            1019540.80000,             309508.30000,             164085.55000,               1156.75000,                963.55000,                  0.00000,
      4,            2942456.25000,            1038500.85000,             318063.95000,             170135.00000,               1134.05000,                989.90000,                  0.00000,
      5,            2920553.15000,            1049765.95000,             325554.15000,             173420.65000,               1062.25000,                923.85000,                  0.00000,
      6,            2905960.20000,            1056490.80000,             329993.65000,             176986.85000,                967.20000,                881.30000,                  0.00000,
      7,            2895869.40000,            1061381.95000,             333433.85000,             178863.10000,                953.65000,                778.05000,                  0.00000,
      8,            2890246.60000,            1062326.40000,             336332.60000,             180742.40000,                901.30000,                730.70000,                  0.00000,
      9,            2886131.35000,            1064496.90000,             337328.30000,             181787.25000,                836.45000,                699.75000,                  0.00000,
     10,            2884522.65000,            1065023.00000,             337161.85000,             183062.35000,                821.70000,                688.45000,                  0.00000,
     11,            2885209.50000,            1063652.25000,             338134.95000,             182777.15000,                831.70000,                674.45000,                  0.00000,
     12,            2886503.95000,            1062026.05000,             338101.15000,             183102.85000,                855.10000,                690.90000,                  0.00000,
     13,            2888115.80000,            1059762.95000,             338595.20000,             183317.60000,                810.85000,                677.60000,                  0.00000,
     14,            2890280.75000,            1058029.50000,             338205.15000,             183255.10000,                803.25000,                706.25000,                  0.00000,
     15,            2893028.35000,            1055699.15000,             338047.25000,             183023.35000,                804.00000,                677.90000,                  0.00000,
     16,            2894134.65000,            1054718.05000,             337597.80000,             183337.75000,                782.35000,                709.40000,                  0.00000,
     17,            2895716.65000,            1054240.20000,             337099.55000,             182765.10000,                813.50000,                645.00000,                  0.00000,
     18,            2896722.55000,            1052927.35000,             337033.75000,             183129.65000,                802.85000,                663.85000,                  0.00000,
     19,            2898080.35000,            1051732.55000,             336985.55000,             183060.65000,                777.95000,                642.95000,                  0.00000,
     20,            2899551.55000,            1050415.30000,             336157.05000,             183692.05000,                798.15000,                665.90000,                  0.00000,
     21,            2900772.00000,            1050315.95000,             336266.50000,             182452.65000,                819.80000,                653.10000,                  0.00000,
     22,            2902805.35000,            1048266.85000,             336069.95000,             182647.75000,                784.35000,                705.75000,                  0.00000,
     23,            2903880.00000,            1047814.60000,             335636.75000,             182460.10000,                799.80000,                688.75000,                  0.00000,
     24,            2905115.60000,            1046603.35000,             335887.25000,             182219.05000,                808.90000,                645.85000,                  0.00000,
     25,            2906749.45000,            1045189.35000,             335649.10000,             182186.10000,                831.30000,                674.70000,                  0.00000,
     26,            2908189.85000,            1044550.55000,             334739.35000,             182360.75000,                796.65000,                642.85000,                  0.00000,
     27,            2909062.35000,            1043936.55000,             335107.15000,             181765.25000,                741.10000,                667.60000,                  0.00000,
     28,            2910206.10000,            1042794.85000,             335025.85000,             181769.05000,                800.00000,                684.15000,                  0.00000,
     29,            2912668.60000,            1040900.25000,             334788.25000,             181422.00000,                809.90000,                691.00000,                  0.00000,
     30,            2912327.65000,            1041242.40000,             334405.80000,             181853.75000,                792.55000,                657.85000,                  0.00000,
