year,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,
      0,             275415.00000,            1472825.00000,            1765540.00000,             666130.00000,             190870.00000,              60220.00000,              22470.00000,               7625.00000,               3720.00000,               2725.00000,               3740.00000,
      1,             104635.15000,            1287816.45000,            1830454.40000,             811474.90000,             273598.35000,              91558.60000,              40937.25000,              17044.15000,               5704.65000,               3079.90000,               4976.20000,
      2,              47159.10000,            1060740.20000,            1821887.60000,             932536.45000,             357379.40000,             131276.75000,              65952.70000,              30614.80000,              12137.40000,               4505.90000,               7089.70000,
      3,              24016.60000,             863803.10000,            1761963.60000,            1021201.65000,             436586.55000,             175454.95000,              96523.50000,              49262.15000,              23478.00000,               8912.60000,              10077.30000,
      4,              13629.15000,             703300.25000,            1670379.60000,            1079239.80000,             508052.40000,             219765.65000,             131466.20000,              73059.90000,              38365.00000,              18147.40000,              15874.65000,
      5,               8747.65000,             575196.65000,            1563837.30000,            1110267.65000,             566875.25000,             261822.05000,             168283.65000,             101008.80000,              57098.20000,              30157.80000,              27985.00000,
      6,               6323.85000,             473073.30000,            1451196.75000,            1119016.20000,             614010.35000,             299483.50000,             204620.90000,             131343.70000,              78941.90000,              45419.15000,              47850.40000,
      7,               5042.10000,             391827.00000,            1337531.30000,            1110847.70000,             647294.70000,             333058.00000,             239691.20000,             162292.95000,             103296.65000,              63365.25000,              77033.15000,
      8,               4400.40000,             326434.50000,            1227565.50000,            1089933.75000,             670026.90000,             358910.35000,             272039.45000,             192899.10000,             129579.60000,              83049.85000,             116440.60000,
      9,               3993.40000,             273597.80000,            1123956.10000,            1058523.00000,             682302.40000,             379598.70000,             299630.25000,             222003.05000,             156270.50000,             104926.25000,             166478.55000,
     10,               3924.05000,             230823.45000,            1026723.55000,            1020874.55000,             685398.50000,             394755.55000,             322408.35000,             248813.30000,             182485.90000,             127846.35000,             227226.45000,
     11,               3725.45000,             195943.30000,             937748.35000,             977446.65000,             682084.30000,             403729.85000,             341212.20000,             271965.65000,             207801.00000,             150348.35000,             299274.90000,
     12,               3776.35000,             167599.50000,             854924.95000,             932637.00000,             672666.35000,             407901.30000,             355890.45000,             292100.30000,             229714.50000,             172844.50000,             381224.80000,
     13,               3772.30000,             144273.55000,             780095.35000,             885295.50000,             659142.65000,             409150.15000,             364925.25000,             308737.25000,             249946.75000,             194012.60000,             471928.65000,
     14,               3670.45000,             124723.20000,             711968.30000,             837637.55000,             642607.70000,             407117.90000,             370478.25000,             321090.80000,             267308.65000,             213707.30000,             570969.90000,
     15,               3524.75000,             108661.10000,             649479.45000,             791631.20000,             622194.10000,             402030.30000,             373119.95000,             331201.15000,             281305.70000,             231188.55000,             676943.75000,
     16,               3449.45000,              94869.60000,             593548.90000,             745310.65000,             600688.15000,             394503.55000,             374174.65000,             337209.35000,             293101.45000,             245983.30000,             788440.95000,
     17,               3386.55000,              83277.85000,             543107.95000,             700438.35000,             577762.30000,             385137.95000,             371837.05000,             341284.00000,             302133.80000,             258526.95000,             904387.25000,
     18,               3219.25000,              73339.60000,             497101.30000,             658251.95000,             553699.75000,             374234.40000,             367198.15000,             342864.25000,             308937.50000,             269591.55000,            1022842.30000,
     19,               3268.40000,              64956.75000,             455495.45000,             617321.05000,             529900.75000,             362788.30000,             360631.75000,             341700.85000,             313800.40000,             278216.95000,            1143199.35000,
     20,               3186.95000,              57870.65000,             417866.65000,             579257.05000,             505230.75000,             350366.35000,             352283.05000,             340199.85000,             316332.70000,             284142.60000,            1264543.40000,
     21,               3611.30000,              51730.45000,             383938.30000,             542874.10000,             480594.35000,             337881.35000,             343055.05000,             336472.70000,             316706.90000,             289514.10000,            1384901.40000,
     22,               3739.30000,              46721.05000,             353199.30000,             508399.35000,             457493.50000,             324146.35000,             333639.65000,             331167.85000,             315867.80000,             292337.50000,            1504568.35000,
     23,               3694.40000,              42455.80000,             325252.45000,             476643.75000,             434267.10000,             311007.65000,             323171.60000,             324090.10000,             313715.85000,             294520.45000,            1622460.85000,
     24,               3565.30000,              38779.85000,             300201.30000,             446783.50000,             412288.70000,             297290.75000,             312299.35000,             316317.85000,             310088.55000,             294542.85000,            1739122.00000,
     25,               3647.80000,              35312.90000,             277682.25000,             418585.45000,             390638.10000,             283705.85000,             301842.20000,             308032.70000,             305176.25000,             292719.50000,            1853937.00000,
     26,               3429.30000,              32417.15000,             257161.35000,             392640.25000,             369527.95000,             271076.80000,             289805.80000,             299962.50000,             299787.90000,             289938.80000,            1965532.20000,
     27,               3699.55000,              29921.95000,             238157.30000,             368552.80000,             349945.80000,             258691.65000,             277752.05000,             290745.40000,             293660.85000,             287434.55000,            2072718.10000,
     28,               3545.25000,              27664.85000,             221321.40000,             345844.40000,             331634.30000,             245924.70000,             266559.20000,             281230.35000,             286561.45000,             283527.20000,            2177466.90000,
     29,               3632.00000,              25594.60000,             205398.10000,             325115.45000,             313643.65000,             234559.65000,             255646.60000,             271303.65000,             278405.50000,             278843.30000,            2279137.50000,
     30,               3605.65000,              23854.10000,             191418.10000,             305322.30000,             296995.25000,             223369.30000,             244721.30000,             261177.90000,             270638.20000,             273234.00000,            2376943.90000,
