year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,       211742706074.97958,                  0.00000,         1906666019.99956,       209836040054.98032,
      2,       241279579849.72446,                  0.00000,         4828381901.99942,       236451197947.72485,
      3,       241020665799.15948,                  0.00000,         6371803829.99849,       234648861969.16129,
      4,       243601159257.87454,                  0.00000,         7433428047.27173,       236167731210.60242,
      5,       253495970836.58212,                  0.00000,         8538199883.99974,       244957770952.58249,
      6,       265710182126.11639,                  0.00000,         9911576037.27069,       255798606088.84525,
      7,       277806658686.77618,                  0.00000,        10923412553.99824,       266883246132.77844,
      8,       286051635854.85577,                  0.00000,        11845401792.54415,       274206234062.31180,
      9,       293811271307.52283,                  0.00000,        12358989379.08696,       281452281928.43628,
     10,       300910133690.62622,                  0.00000,        13125904423.63454,       287784229266.99146,
     11,       304374205563.72131,                  0.00000,        13400639963.27191,       290973565600.44946,
     12,       309753476529.81873,                  0.00000,        13979553755.81621,       295773922774.00214,
     13,       308533842455.06970,                  0.00000,        14289335681.99718,       294244506773.07294,
     14,       310914455987.50897,                  0.00000,        14517667462.72720,       296396788524.78241,
     15,       312822060523.99072,                  0.00000,        14529369189.27091,       298292691334.72070,
     16,       312040308509.71631,                  0.00000,        14691000102.00044,       297349308407.71741,
     17,       312321502674.52338,                  0.00000,        14953218931.81878,       297368283742.70502,
     18,       310700135750.71503,                  0.00000,        14791530942.90834,       295908604807.80713,
     19,       312787694020.99561,                  0.00000,        14856010781.81897,       297931683239.17670,
     20,       310422738615.53033,                  0.00000,        14718657363.27152,       295704081252.25873,
     21,       311901628501.98346,                  0.00000,        14903465097.27213,       296998163404.71210,
     22,       312788369437.24530,                  0.00000,        14998697461.99741,       297789671975.24908,
     23,       314989742619.26038,                  0.00000,        15021134037.27313,       299968608581.98810,
     24,       312876549722.52655,                  0.00000,        15116408087.26965,       297760141635.25659,
     25,       315129526080.89215,                  0.00000,        15083069841.99884,       300046456238.89447,
     26,       314845718022.06860,                  0.00000,        15317507304.72508,       299528210717.34546,
     27,       315648042512.78442,                  0.00000,        15141731961.26935,       300506310551.51514,
     28,       315959887163.09772,                  0.00000,        15276847370.72707,       300683039792.37158,
     29,       314922787554.41498,                  0.00000,        15255235176.36087,       299667552378.05402,
     30,       315442807138.33545,                  0.00000,        15102927725.99700,       300339879412.33813,
