year,risk,
      0,                  0.10328,
      1,                  0.10327,
      2,                  0.10327,
      3,                  0.10327,
      4,                  0.10327,
      5,                  0.10327,
      6,                  0.10327,
      7,                  0.10327,
      8,                  0.10327,
      9,                  0.10327,
     10,                  0.10327,
     11,                  0.10327,
     12,                  0.10327,
     13,                  0.10327,
     14,                  0.10327,
     15,                  0.10327,
     16,                  0.10327,
     17,                  0.10327,
     18,                  0.10327,
     19,                  0.10327,
     20,                  0.10327,
     21,                  0.10327,
     22,                  0.10327,
     23,                  0.10327,
     24,                  0.10327,
     25,                  0.10327,
     26,                  0.10327,
     27,                  0.10327,
     28,                  0.10327,
     29,                  0.10327,
     30,                  0.10327,
