year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,             457983.90000,                  0.00000,              15513.25000,             442470.65000,
      2,             240267.75000,                  0.00000,              18867.35000,             221400.40000,
      3,             245212.15000,                  0.00000,              23176.20000,             222035.95000,
      4,             254001.85000,                  0.00000,              26699.30000,             227302.55000,
      5,             262540.80000,                  0.00000,              29405.45000,             233135.35000,
      6,             269942.60000,                  0.00000,              31135.40000,             238807.20000,
      7,             277092.95000,                  0.00000,              33061.45000,             244031.50000,
      8,             283782.90000,                  0.00000,              34163.15000,             249619.75000,
      9,             287474.40000,                  0.00000,              34623.90000,             252850.50000,
     10,             292928.15000,                  0.00000,              35543.25000,             257384.90000,
     11,             295142.60000,                  0.00000,              36192.10000,             258950.50000,
     12,             297178.65000,                  0.00000,              36498.75000,             260679.90000,
     13,             299093.50000,                  0.00000,              36831.25000,             262262.25000,
     14,             299373.55000,                  0.00000,              37057.20000,             262316.35000,
     15,             300070.65000,                  0.00000,              36976.40000,             263094.25000,
     16,             300162.90000,                  0.00000,              37054.35000,             263108.55000,
     17,             301160.75000,                  0.00000,              37466.55000,             263694.20000,
     18,             301084.30000,                  0.00000,              37499.15000,             263585.15000,
     19,             301347.50000,                  0.00000,              37331.55000,             264015.95000,
     20,             300004.35000,                  0.00000,              36730.60000,             263273.75000,
     21,             301356.05000,                  0.00000,              37735.75000,             263620.30000,
     22,             301468.55000,                  0.00000,              37368.20000,             264100.35000,
     23,             302015.70000,                  0.00000,              37530.80000,             264484.90000,
     24,             301889.35000,                  0.00000,              37386.65000,             264502.70000,
     25,             300891.10000,                  0.00000,              37397.85000,             263493.25000,
     26,             303419.65000,                  0.00000,              37858.45000,             265561.20000,
     27,             302439.75000,                  0.00000,              37270.70000,             265169.05000,
     28,             303674.70000,                  0.00000,              37330.00000,             266344.70000,
     29,             302938.95000,                  0.00000,              37098.15000,             265840.80000,
     30,             303228.80000,                  0.00000,              37568.60000,             265660.20000,
