Before_I,After_I,interval,c,pav.type,Route_id,Section_id2
1,1,11.25,1,1,101001000,101001000002_0000
1,1,11.25,1,1,101001000,101001000012_0000
1,1,11.25,1,1,101001000,101001000022_0000
1,2,11.25,1,1,101001000,101001000022_0000
1,1,11.25,1,1,101001000,101001000022_0000
1,1,11.25,1,1,101001000,101001000022_0000
1,1,11.25,1,1,101001000,101001000022_0000
1,1,11.25,1,1,101001000,101001000022_0000
1,1,11.25,1,1,101001000,101001000022_0000
1,1,11.25,1,1,101001000,101001000022_0000
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0001
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0002
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0003
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0004
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0005
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0006
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0007
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0008
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0009
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0010
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0011
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,2,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0012
1,1,11.25,1,1,101001000,101001000022_0013
1,1,11.25,1,1,101001000,101001000022_0013
1,1,11.25,1,1,101001000,101001000022_0013
1,1,11.25,1,1,101001000,101001000022_0013
